,BANKRUPTCY,CENTRALBANK,DEBT,DEFLATION,DEREGULATION,EARNINGSREPORT,GOLDPRICE,HOUSING_PRICES,INFLATION,INTEREST_RATES,IPO,MIDDLECLASS,OILPRICE,STOCKMARKET,TRADE_DISPUTE
2018-02-10,-1.8296969150642,-1.42638376886091,-1.52427489098378,-1.35159015570823,-0.985641044368898,0.198799344989325,-1.05156727537812,-0.196270934659251,-2.04066794310385,-1.68418362721159,-0.321719662964138,-0.589090415324339,-1.53782459972084,-0.656429961307611,-2.00892459403707
2018-02-11,-1.7759796678158,-1.24829405469017,-1.31640323725707,-1.76859177283308,-1.28531491959595,0.434968652550039,-1.04539322711002,0.329149403551283,-1.58668987585722,-1.3939394823525,0.173886863098862,-1.14929565917098,-1.01937112113597,-0.082983814920639,-1.32345529232311
2018-02-12,-2.90423726187217,-1.47177541275981,-1.65625341921649,-1.60199406006906,-0.893979745857899,0.589484716556701,0.567357056701378,0.101915448457859,-1.40579400414399,-1.23844521044068,0.141851544953855,-1.23732336321983,-1.18233061806077,-0.214555290863749,-2.34205997090783
2018-02-13,-2.0055482528491,-1.342071413486,-1.56428814565028,-0.90721757299283,-0.952733684275691,0.758725899501498,0.819697719217303,0.218518162076686,-1.00826995444349,-0.732173809374822,-0.665028988665483,-1.03409100963709,-1.06420350444177,-0.167693267962872,-3.25584414672223
2018-02-14,-1.75462651973198,-1.03866628614198,-1.24071353374201,-2.35628965992277,-1.52324594472168,0.767713984758186,0.787088322003791,0.496515735489204,-1.09181273301322,-0.888288853713999,-0.08501917557103,-0.888980879118134,-1.26314288374467,-0.175295370002341,-2.41897338489966
2018-02-15,-2.01965152936907,-1.21606059635052,-1.24248703542947,-1.14904665373242,-1.17993229664063,0.69889274517562,0.742531389547549,0.223357599023616,-0.912775256326701,-0.750941236768678,0.01544887729926,-0.745283726643479,-1.10544158874342,-0.284256043510006,-1.93476220098993
2018-02-16,-2.49617418623073,-1.53378303506065,-1.30642479762878,-1.09284221485397,-1.28174511902681,0.909231626180579,0.911913952337409,0.1622750966952,-0.836255013709862,-0.836655510038829,0.184915874547846,-0.606369931063999,-0.921065877296203,-0.415993701125283,-2.06747499095669
2018-02-17,-1.74424451014963,-1.96935155710339,-1.67064642043267,-2.00152388701383,-1.81086860459824,0.225104472043591,0.484826670082351,-0.227644065376574,-1.30700243224263,-0.95167359653985,-0.310463697394482,0.270779691540404,-0.823814101656832,-0.556999600408011,-2.63492656709541
2018-02-18,-2.04159788865663,-2.37632964366372,-1.38895217851249,-1.4602253289525,-1.0576939952742,0.58324637916009,0.207222907833095,0.009457522499309,-0.421572832107904,-0.980489207473085,-0.337273598216064,-0.891673012027184,-0.437069335216061,-0.06209980516402,-1.54628779922526
2018-02-19,-2.68781439487124,-2.28436136990006,-1.29370873528473,-1.14044715549761,-1.64159634250268,0.72137779531413,0.412043576872124,0.24950501582091,-0.391595628281289,-0.751872757800982,0.172578743452711,-1.00533310682452,-0.893725107486906,-0.311735927057317,-1.73796992952284
2018-02-20,-2.14417940173732,-1.9121555341476,-1.29891207603463,-1.33549863049429,-1.20325303630163,0.450624893110615,0.474876836510782,0.030248393036101,-0.943226853594403,-0.88892299217016,0.531227548547643,-0.808942436997649,-1.00618158822128,-0.348698072367794,-2.40360846939724
2018-02-21,-2.04968300760023,-1.59796197976501,-1.09346292800784,-1.26969202296969,-1.05840180879236,0.76818533138028,0.572141170820825,-0.085749041916058,-0.980027328281244,-0.629475596531396,0.554558016145261,-1.093244040857,-1.07405405906453,-0.603862397065177,-3.01015575181171
2018-02-22,-2.25812888329013,-1.4786978341535,-1.03130434681092,-1.41210717441438,-0.960299293054353,0.413117651695182,0.790496418244572,0.138309701349309,-1.17590755693417,-0.677520936109345,0.206543656264692,-0.844106368820212,-0.84414419184911,-0.594197726214584,-2.1579114362958
2018-02-23,-1.79367179367811,-1.48241658029818,-1.37743211573266,-1.15997454892333,-0.309196847584607,0.852220820895104,0.6736515785224,-0.821879906319119,-0.985983555099433,-0.855665433968598,-0.26567312667033,-0.182730187592957,-1.09719624859046,-0.634255059117128,-2.61804333758835
2018-02-24,-1.63869900545056,-2.01059479433805,-1.59062947220175,-1.30630113393736,-1.3592037569452,0.625016537565624,0.823939423914668,-0.703016106753077,-1.02361372810237,-1.3617361593703,-0.41944758787559,-0.397929690472739,-1.49346405340081,-0.441408393159692,-2.26540676951816
2018-02-25,-2.37193697038633,-1.36698602567044,-1.59325458588763,-2.45826019530012,-2.05211903946713,0.710296245101475,0.068383118659081,0.039096674975691,-1.20560659674279,-0.615227192619826,0.308635168073545,-0.696732726180712,-0.544118358496339,-0.035142729088829,-2.24032092701946
2018-02-26,-2.33527195569371,-0.770180745140974,-1.30765085030445,-1.61872403949272,-1.48044581050831,0.781908896380914,0.433756647136173,0.148999803307127,-0.667997165964705,-0.515156871484122,0.374925902508542,-0.683554873735343,-0.769476474675165,-0.091742470721641,-1.73505398697438
2018-02-27,-2.08977994510848,-0.749765194072891,-1.36249023870244,-1.72642266945803,0.014773469685416,0.739240908104337,1.13289602594848,0.295193763767602,-0.551719989410937,-0.397260033059425,0.516969554256624,-0.252798297730642,-0.791695833140754,-0.211272562854398,-1.96183898974076
2018-02-28,-1.67724976160913,-1.14172365803117,-1.27786120068617,-1.0192768239556,-0.69229373934383,0.186520382322773,0.324239753056676,-0.147987592291818,-1.06567220838264,-0.827577081798155,0.095676256351969,-0.822869332427328,-1.46116473787622,-0.419118371811143,-2.66390874311249
2018-03-01,-1.72419697808549,-1.22919015592577,-1.33433968101453,-1.81383479192181,-0.724027133895639,-0.191330224383843,0.491090384601036,-0.108807822095116,-1.45199521796056,-1.11620582158841,0.35529315216211,-0.668885809635432,-1.60902451099523,-0.363210553268297,-2.87014120142651
2018-03-02,-1.48291537404839,-1.57835220194047,-1.48591442297409,-1.49220459760848,-2.1308143984395,0.681591153151292,-0.426114532698743,-0.364716904344672,-1.65236419610455,-1.48019368038395,0.130912344134312,-0.947302327939394,-2.10222400763154,-0.98268762350768,-3.30106549044776
2018-03-03,-1.34660347026582,-1.40558042454063,-1.28136403211083,-2.52629469252722,-1.49514335790753,0.39725707311227,0.536965803624022,-0.384736001132618,-1.56106268672038,-1.30152496339593,-0.164941004052219,-0.994970202130548,-1.70801943888554,-0.725816223495557,-3.06022079384987
2018-03-04,-1.59608812879024,-0.926573083493688,-1.618760575934,-1.48008490305351,-1.47166119967924,0.742076761421814,-0.022981463335745,-0.329466619291669,-0.867829173831639,-0.791870466363228,0.471882364941221,-1.39907470971303,-0.971538170159003,-0.464317124692966,-3.14589011605974
2018-03-05,-1.93950828802183,-1.35039227557303,-1.04586085353885,-0.861135240752305,-1.7816789187046,0.475692565668187,0.003174512758536,-0.00330395304889,-1.14115267615099,-1.03287423339806,-0.251734132243198,-1.45161560213966,-1.38588743887697,-0.353722371263872,-2.59821850001793
2018-03-06,-2.03409999790025,-0.943395384498518,-1.31608073052506,-1.91082723945972,-1.22407871759313,0.339442892252577,0.403893381017089,-0.02889762784896,-1.03739212683225,-0.824632698665188,0.255403141974709,-1.17254738051961,-1.09601346852237,-0.371106995264478,-2.0086701856116
2018-03-07,-1.64001423234567,-1.18863013129217,-1.49596319702479,-0.565054897758462,-1.58003112850941,0.489173919573582,-0.304074284310294,0.107264818162023,-1.0886877930544,-0.832678396100616,0.654272692241464,-1.03735725422532,-1.650021534888,-0.463182461644756,-2.62017568516743
2018-03-08,-1.83426154793618,-1.32469191490089,-0.98958984823832,-1.32672303549824,-1.41848927670639,0.718389260616341,0.556710448317873,-0.047711522442576,-1.5674798706439,-0.977790634525348,0.246038783968154,-0.703155542850951,-1.0779706974202,-0.398080170460487,-1.93590858023895
2018-03-09,-2.27641417716565,-1.23175216565321,-1.28823234787043,-1.84207520153819,-1.13534763071193,0.610145931195438,0.18727273412598,-0.159908936332003,-0.911247479195051,-0.754495930419601,0.042389269444565,-0.496985698697424,-0.860087307607483,-0.56841602313145,-2.16980290395146
2018-03-10,-1.68656275042937,-1.14523716354688,-1.34858016500492,-2.6653855333236,-2.05692799334502,0.12830087251663,0.862086975310991,-0.032637424324021,-1.07648353538645,-0.732188655521827,-0.172619354991232,-0.6608320414179,-1.23324449473324,-0.902176795244518,-2.15835818541306
2018-03-11,-1.84374242426682,-0.97661965436313,-1.16601160205138,-2.06034880611977,-2.37033269823054,0.738126822714788,0.454737957041092,0.318413579824732,-1.27286772148247,-0.630174909909356,0.39828411002081,-0.064426749346014,-0.967563706472897,-0.42170819607607,-2.65985139490629
2018-03-12,-2.06002931096244,-1.11176257335289,-1.25428450222328,-1.69790577590352,-0.483851176293952,0.640216436348017,0.483309434123965,-0.437854760452279,-0.827956431010648,-0.822796479497305,-0.153512017364155,-0.716909968457054,-0.869531387842907,-0.205920025193406,-2.19352864029959
2018-03-13,-1.42759365839689,-1.45386813737952,-1.48888019093105,-1.61655072434123,-0.720372198877296,0.715636450089319,-0.467428715738006,-0.634373291593545,-1.25205465106531,-1.14576812436334,-0.191929341421754,-0.759144027017796,-1.80982115657296,-0.527305158616605,-2.30061619601191
